batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,equalized_odds,1 - accuracy
297,0.6205646954477,0.000210147218,2,697,0.02521394606792566,0.013933208001886466
979,0.3596079321578,0.0535361448362,4,65,0.030616918332649002,0.021625732031559285
652,0.7642785040662,0.0014379647071,3,136,0.027083663940429686,0.01497292537875261
94,0.005704017356,0.0050831004951,3,339,0.02841058944210862,0.01580495888508373
241,0.9708397453651,0.0329667406801,4,407,0.0,0.5493876570879693
59,0.9865356934786,0.0203319782081,4,652,0.0,0.5275354198351077
43,0.9845906822063,0.0157271681215,2,631,0.015784593820571898,0.3226745355777614
38,0.9741379157797,0.0297921932158,3,510,0.0,0.5000925923922803
147,0.9571952441973,0.0338521150616,1,693,0.06949176250082074,0.13722538675712453
48,0.945966258002,0.0206878756182,3,500,0.0,0.5493876570879693
72,0.9723181835587,0.0150071003967,4,503,0.014741985590168923,0.3367057444060566
44,0.9478691272383,0.0337165447362,5,767,0.0,0.49011338241307023
39,0.9882597199872,0.0227722945482,5,76,0.017626197238763176,0.33930157645037984
319,0.5359744191457,0.000217707524,3,598,0.024868425618518483,0.01351740758608604
345,0.5826163022689,0.0001635713358,5,618,0.026742169495784878,0.015181474598748256
548,0.3368706272982,0.0005127997867,5,581,0.026991856152361087,0.01476502517085243
326,0.6076989066142,0.0002491581259,3,573,0.023691737859538108,0.01206102444395889
297,0.6367095689723,0.0001830780845,3,620,0.024381799616596915,0.014349008417686892
300,0.5349891279994,0.0002745882833,2,590,0.02573202787926703,0.013933208001886466
277,0.0788153739624,0.0011246047718,1,788,0.02488949216676481,0.013725524131351374
895,0.7897473442105,0.011623077444,1,411,0.027916912526795363,0.014556259613491673
597,0.4199483890762,0.0062957704128,3,1002,0.0,0.4506123429120308
316,0.9065899090176,0.0001748289792,3,92,0.027357632851961883,0.015180609249287703
313,0.9472237578772,0.0001947932761,3,252,0.026320717352809324,0.013725524131351374
305,0.8156969941323,0.0001843371775,4,76,0.028517199583125836,0.01601242641825369
302,0.8332603784296,0.0001815034925,1,197,0.02501198999809496,0.01226935732658938
319,0.7898718877615,0.0001963265148,2,383,0.025871516511295777,0.01372574046871653
316,0.7843389790967,0.0001925609134,2,95,0.025032249065962704,0.013100741820825079
315,0.9603904540005,0.0001868971482,1,65,0.03945361959211754,0.018925192702507986
497,0.4323787825414,0.0004186695981,1,866,0.02398323539531592,0.012061457118689157
38,0.9876292957083,0.0161447114152,5,229,0.05342111023086491,0.2657096622757393
242,0.5897873412338,0.0912677296139,2,140,0.0,0.48244379014410227
32,0.9872405350599,0.0163404727678,2,67,0.05761101202531295,0.037841082898314934
36,0.9920186326957,0.0155105294158,4,301,0.06597284414551474,0.16466540181420514
361,0.9874219460136,0.0158527989423,2,238,0.027900765646587722,0.01850657990096074
656,0.9880720118474,0.0162962922626,5,228,0.028797517662698575,0.01622075930088416
34,0.9868210913869,0.0002184196692,3,97,0.02695541568777778,0.012893274287655122
492,0.6114448594069,0.0002708032798,3,969,0.024331444673465957,0.012269573663954514
498,0.6127584039334,0.0002399747413,3,958,0.026108079633929516,0.013725524131351374
203,0.836270266563,0.0026409543209,5,612,0.02808758490916454,0.015596193327722973
326,0.6101315268155,0.0003518213358,3,934,0.025740034670540778,0.01393299166452131
330,0.5293806834658,0.0002957537569,3,987,0.024487877894531596,0.013100958158190212
488,0.3440591088679,0.0002731403232,3,913,0.02595937184312127,0.0149733580534829
336,0.6131766094897,0.0002950569524,3,944,0.026115959376999825,0.01372509145662113
329,0.241511203219,0.0002383518095,3,986,0.026782293915748594,0.013725524131351374
326,0.6021566796185,0.0002630453976,3,436,0.025215628499334508,0.013308642028725259
326,0.602798795851,0.0002659117972,2,449,0.02439903671994354,0.01206167345605429
321,0.5982461752387,0.0002604387201,2,473,0.026662473687619877,0.014765241508217564
539,0.4096195582972,0.0014614146338,2,269,0.02677984756050688,0.014348575742956582
48,0.6039610304287,0.0002538045863,2,445,0.02824628554510348,0.014556475950856785
51,0.6023496569873,0.0002535269537,2,444,0.024550644412185206,0.014141540884516935
52,0.6042728253103,0.0002446503984,2,461,0.02425610414057067,0.014141757221882068
582,0.0387496336331,0.0003356147463,1,83,0.026233286360899603,0.014764808833487297
326,0.6128877038087,0.0002455711791,3,577,0.02676597116571484,0.014141540884516935
326,0.6141508428398,0.0002473353301,3,573,0.02756602453463005,0.013932775327156154
502,0.9902989652233,0.0002492493944,3,458,0.0267689323425293,0.014349008417686871
500,0.9989360919006,0.0002477818752,3,459,0.04382688946796186,0.04720329871214366
497,0.992319014782,0.0002462940994,3,462,0.026657679920846767,0.012685157742389786
526,0.1558490208903,0.0010597119829,3,71,0.02956781759406581,0.015597058677183528
503,0.9999678989952,0.0002486454346,3,459,0.002685988780223962,0.4052563489608235
900,0.4300912433377,0.0152683361273,5,574,0.0,0.4880343803340681
326,0.6109064294931,0.0002490946141,3,573,0.02475495221939954,0.013933208001886466
63,0.6065518971617,0.0002484585869,3,571,0.02435789209423643,0.012893274287655122
492,0.6114023334354,0.0002638203485,3,631,0.02559878850525076,0.01372574046871653
326,0.6112956278299,0.0002519198242,3,583,0.023927181489539866,0.012686023091850341
921,0.0402320288874,0.0695202977577,2,410,0.0,0.5175562098558977
217,0.6966025769503,0.0609459009151,5,409,0.0,0.49200719970751194
506,0.4595435600861,0.0003626796371,1,1024,0.024820824617689308,0.012685806754485229
435,0.6182493089424,0.0313142741224,3,206,0.02580875488844785,0.10416471061632351
193,0.4888227212062,0.0678987026873,5,198,0.0,0.4724645801648924
972,0.1229497997029,0.005926365032,2,1001,0.026782652753772156,0.01351697491135575
597,0.2131758294545,0.0169622249474,5,1006,0.0,0.4980135903132781
962,0.1658029844256,0.0009078367561,5,387,0.025233446088704196,0.013725307793986263
633,0.2061940673584,0.00696929213,2,1019,0.022847792217225736,0.10166709573577419
632,0.2859097380484,0.0213235547463,3,145,0.026725100242730344,0.016427794159323807
597,0.428176003662,0.0059090658063,3,1003,0.0,0.4506123429120308
597,0.3533321352388,0.0065802224439,5,1002,0.010651724609461698,0.27775900450198054
301,0.6021608734711,0.0031720839579,1,1017,0.02363808829676021,0.013101174495555345
351,0.5117247415583,0.003247075912,1,1024,0.025629530070406015,0.013309291040820704
52,0.6049064593744,0.0019719184995,2,1019,0.025554587272080508,0.01559770768927895
917,0.2528729324812,0.0002112474838,2,84,0.02606787074695934,0.014347710393496027
54,0.6075853814178,0.002841618537,2,1021,0.03093360214522391,0.015804526210353442
869,0.3577941791914,0.0001144897283,1,85,0.05462966519774813,0.02745083192533764
564,0.6602978080394,0.0031688608624,1,1020,0.024369354844093322,0.014765890520313008
603,0.7481965207707,0.050363997522,2,431,0.0,0.4506123429120308
624,0.5509525664361,0.0054877428374,3,1019,0.00576137363910675,0.38429217659186443
642,0.8587176718094,0.0055497817681,2,1012,0.029477200471993655,0.01705171112038959
959,0.0099039525899,0.0001330037572,5,856,0.02719754297624935,0.01538829311982275
630,0.0228213977731,0.0002793231621,1,1009,0.023997755249341328,0.012269140989224225
649,0.1707463726016,0.0056458474705,2,1006,0.027100780226967554,0.014140459197691246
237,0.8462649187724,0.005518701086,1,1015,0.026842234857154618,0.014141973559247224
527,0.6552544628479,0.0057825356597,3,1020,0.0,0.4506123429120308
501,0.4344636044526,0.0343406853747,4,551,0.0,0.5493876570879693
44,0.3566236711344,0.0067529592195,5,492,0.026732990958473903,0.39572668802637584
43,0.3686216373622,0.0067449252759,5,493,0.027253055572509767,0.39260818490787275
44,0.3493114553016,0.0066749654921,5,491,1.0837208140980113e-09,0.5194500271503393
43,0.3791060798407,0.0067603009843,5,502,0.06278096377849579,0.2533377610380732
355,0.9137569290511,0.034912055568,1,196,0.030388517163016583,0.017677142443011308
147,0.3865763069707,0.0067987152155,5,494,0.038982349137465164,0.018922380316761144
167,0.3785705934336,0.0069057546154,5,485,0.03032379312948747,0.022458414549985806
103,0.2833626254686,0.0005003261748,1,490,0.02679962256641099,0.013933208001886466
607,0.5480335333527,0.0051924762123,3,1019,0.013725394507249194,0.273897166196854
441,0.1020683828299,0.0037946946911,5,771,0.028313621363856577,0.015597058677183528
597,0.5425043892191,0.0054099476439,3,1003,0.0076946854591369625,0.3665332586248299
105,0.5175676044407,0.0804624104669,2,720,0.0,0.5019864096867218
597,0.6019905879466,0.0051173641719,3,1002,0.01576550268765652,0.19260818490787274
599,0.7378653877633,0.0001118273841,3,1009,0.024744671348369485,0.012685374079754919
503,0.9999678989952,0.0001890191982,3,304,0.0019139489802447237,0.44188075051758713
625,0.744845059233,0.0050364998585,3,331,0.027161791857444877,0.013932775327156154
620,0.9997816739345,0.0054875063403,4,1022,0.009792286157608032,0.4202816279819402
624,0.9089974075024,0.0054877428374,3,1019,0.007192069788773854,0.4063295986292864
517,0.9998595001898,0.0008416876495,2,480,0.021357689301172895,0.4638621411774377
153,0.9999678989952,0.0002843950912,4,459,0.007660936333916404,0.44449691827423365
616,0.8850881441357,0.0067659174976,3,1021,0.0,0.4506123429120308
35,0.9999341970619,0.0018048858052,2,104,0.017715319467313362,0.39585108201133173
638,0.9998559891816,0.0563238879927,2,458,0.0,0.5175562098558977
619,0.9994484044147,0.0449677811389,3,507,0.0,0.5394084471087592
292,0.6045918780202,0.0036690984118,1,1017,0.025935889374126088,0.01372465878189082
295,0.604941826166,0.000142789505,1,550,0.024928435601971367,0.012269140989224225
297,0.6058259428431,0.000140440323,1,577,0.025261673168702557,0.012893490625020276
335,0.6060189603981,0.0009552182231,1,568,0.027398174450253,0.014140891872421513
326,0.6076989066142,0.0002491581259,1,573,0.024517199351932063,0.013516758573990617
462,0.6045841215745,0.0010258917807,1,301,0.025210546255111693,0.013309291040820681
453,0.6051496783371,0.0008119998173,1,299,0.025535726646582286,0.013725091456621107
57,0.6065518971617,0.0001255469102,4,571,0.025074687636259828,0.012893706962385409
504,0.3567761805208,0.0051708197278,5,1002,0.0,0.4506123429120308
513,0.3529771855207,0.0052362826343,5,1002,0.008344171805815263,0.3616310539307418
607,0.3577420478476,0.0053951490291,5,1019,0.019000557579777456,0.19480963393554446
624,0.5355152847073,0.0050614945292,5,1019,0.010919557376341387,0.27368926598895377
598,0.9983674675002,0.0049836233179,5,1022,0.0253646981716156,0.23306327218918269
516,0.5144613555736,0.0050604117851,5,1003,0.0045918459242040455,0.3907370830367708
725,0.5275737085407,0.0962149393336,3,78,0.009270671606063843,0.4033387345562163
525,0.8943198857425,0.0055493566635,5,1019,0.020743873498656536,0.3195454319283664
80,0.8485675565581,0.0053998002752,2,173,0.026240276847824907,0.013933208001886466
41,0.6451733983331,0.0053887645387,2,175,0.027846219729293475,0.017053441819310698
65,0.6130877191194,0.0053696705909,2,141,0.029360789539236008,0.01518104192401799
576,0.6267043685966,0.0053746262333,2,127,0.02696845112424908,0.013517191248720906
313,0.4943773457039,0.0025848473367,3,885,0.029472831623120737,0.014764592496122142
47,0.6250145646064,0.0053982015228,2,174,0.02758853467124881,0.014141108209786668
380,0.6534199606172,0.0054005317607,2,127,0.02779837248000232,0.01621967761405847
36,0.7041802796722,0.005386042053,2,329,0.027721351854728925,0.014764592496122142
525,0.4255401180897,0.005757437572,2,1003,0.02672016213337581,0.0149727090413875
507,0.4199483890762,0.0058056411151,3,1002,0.0,0.4506123429120308
504,0.393189592006,0.0066618919533,4,1002,0.005798502763112386,0.36703645933614715
563,0.8579566315554,0.0440232297819,5,291,0.0,0.5000925923922803
574,0.9289028802077,0.0512895232977,5,281,0.0,0.48013417243386025
582,0.8476475406218,0.0401273311265,5,280,0.0,0.5493876570879693
627,0.8679889422363,0.0469875543718,5,389,0.0,0.5298450375453497
566,0.6144216525212,0.0397224389331,5,280,0.0,0.5394084471087592
676,0.1649023923527,0.0481631337852,2,1023,0.0,0.4999074076077198
633,0.1475063752017,0.0442396055292,2,1019,0.0,0.5098866175869297
793,0.2500518198771,0.0072989042556,4,564,0.026632253148339013,0.014972492704022344
35,0.191255293284,0.0328898879098,2,1023,0.0,0.49200719970751194
40,0.1087844909688,0.0325617953399,1,1020,0.07021032739769328,0.14949085001114135
47,0.1623322367017,0.0069758051665,2,1023,0.054981851072022414,0.028693041075975523
915,0.2951589262888,0.0066119680367,4,325,0.029589552301349065,0.01476502517085243
679,0.1493496445545,0.0480626778112,2,1017,0.0,0.4506123429120308
976,0.3603359633198,0.0163222644592,1,278,0.02948943914789142,0.015180609249287724
301,0.591671358326,0.0032197453054,1,1017,0.02598697998306968,0.013933424339251599
454,0.1246000775699,0.0038598459083,4,160,0.02555365655458335,0.013517191248720884
61,0.5472870259284,0.003087559567,1,849,0.028743462156165734,0.015804526210353463
56,0.5863283311902,0.0030145312806,1,857,0.02706226779655977,0.014349441092417137
510,0.5877493926042,0.0031832912867,1,1020,0.026432418579405002,0.014765890520313008
67,0.6081941615205,0.0002512983135,3,573,0.02499023311065905,0.013101174495555323
498,0.6579712863223,0.00944846031,4,146,0.03300507512959567,0.018506363563595606
597,0.5679529736072,0.0051173641719,3,956,0.035728340781096254,0.19688668897826023
594,0.3588003152958,0.0051239245932,5,242,0.02647115727265676,0.01414067553505638
609,0.3645118859417,0.0051491234147,5,93,0.025996007214892997,0.01455777397504765
598,0.3685491639706,0.0051637530734,5,89,0.02916913271853418,0.0149727090413875
601,0.3622237571596,0.0051640812806,5,89,0.029968162540233496,0.015180609249287724
805,0.3644461345095,0.0051356451184,5,165,0.029303501456072835,0.014973574390848055
188,0.2461939552216,0.0409216311654,2,474,0.0,0.4506123429120308
631,0.0833483683319,0.0051233823053,5,140,0.025893822673595312,0.01434965742978227
608,0.6036385725514,0.0002521029962,2,1024,0.02433008855039423,0.013101174495555323
805,0.3334198233134,0.0012575315579,3,213,0.02619217167297999,0.01393299166452131
326,0.6016017100829,0.0003337454059,1,583,0.02552605110587496,0.013517191248720884
364,0.2034449398154,0.0042526599584,2,495,0.026886926564303314,0.012685590417120075
733,0.1597686694848,0.031534156064,2,249,0.033012822279424384,0.019339046082022148
296,0.3073615378608,0.0006343167147,1,541,0.023526903354760372,0.013101823507650745
322,0.4642718668172,0.0002521233061,4,548,0.02768318393013694,0.014349008417686849
629,0.1373185771916,0.0002717273957,1,1024,0.02510093232899001,0.013309291040820681
633,0.2341552014505,0.0089711442745,4,1019,0.0,0.5119656196659318
649,0.9572108698052,0.0078843916538,4,1023,0.0,0.5275354198351077
637,0.5989615768067,0.0062758341587,5,633,0.047478349804878237,0.015597275014548684
621,0.2078800181557,0.0984325826781,3,277,0.0,0.5493876570879693
803,0.6304196192746,0.0013917449989,3,500,0.02744934658209483,0.015181474598748256
634,0.4767419014199,0.0104071572261,4,607,0.0,0.4506123429120308
636,0.4780397973436,0.0061270561504,5,597,0.026787810316591547,0.016015022466635352
632,0.5652675311744,0.0063017272414,4,619,0.035438760753833884,0.017260260340385192
293,0.2474899500334,0.0006557240611,1,901,0.023516745079647412,0.012685374079754941
296,0.2045420224176,0.0007307422707,1,824,0.02522942856405721,0.012893274287655122
296,0.1791523437893,0.0007233396926,4,462,0.024531419918392645,0.013932991664521287
296,0.2500784995119,0.0007039475824,4,471,0.0274193036646554,0.014140891872421513
296,0.2648956013008,0.0006637957096,4,150,0.02658721445184765,0.013933424339251599
68,0.1020515454664,0.0006588290375,2,852,0.02571404471541896,0.012270006338684802
55,0.0377342232538,0.0007060454557,1,912,0.025489096822160662,0.013100958158190212
72,0.1366065068592,0.0006766209709,1,886,0.025824767495646623,0.013309291040820681
222,0.3646827688118,0.0162151725013,4,81,0.05731561203797658,0.05031704240861368
556,0.6013410118621,0.0050810476447,3,1002,0.021068689163887138,0.10104382778680385
567,0.6005204604625,0.0051165797238,3,972,0.01651567102381677,0.19376732051029658
564,0.8689679283274,0.0051105502428,3,983,0.02248780341762485,0.10187499594367441
567,0.8775981726425,0.0051093891509,3,999,0.014834513853896747,0.19168810209392936
728,0.5995910486747,0.0051084579266,4,353,0.027450393718300443,0.014141108209786691
1022,0.2594121754683,0.0925450324862,3,1007,0.0,0.5493876570879693
413,0.8734219129633,0.005080125326,3,992,0.012963497747074473,0.32277643047674265
838,0.1717503564595,0.0044240145489,4,886,0.026871160304907597,0.013309074703455548
840,0.1875213661046,0.0044135995652,4,906,0.025674211635734096,0.014973141716117789
835,0.859781401951,0.0050554092752,2,92,0.029104945813164567,0.01538829311982277
912,0.6501855402958,0.0001602316999,1,182,0.0319072670286352,0.014764808833487297
642,0.3218750954514,0.0083602316064,5,264,0.02695170944387263,0.014349224755052004
221,0.5098011891873,0.018540436892,1,105,0.028452373697902218,0.015804742547718596
816,0.6786837187,0.0044605201225,4,700,0.029997533343055032,0.015180609249287703
832,0.4517289147214,0.0044353469377,4,534,0.026746023550178067,0.013724009769795398
51,0.3125507087771,0.0005791691351,1,531,0.023623920028859918,0.013101390832920478
51,0.3135148455377,0.0005873794285,1,556,0.023878360652562342,0.013101607170285611
71,0.3126579007232,0.0005898517393,1,517,0.025954591902819547,0.013517623923451173
108,0.2558629127546,0.0006416390719,1,901,0.024821429388089615,0.013725524131351374
162,0.6434098405952,0.0031720839579,1,1017,0.027051230054913146,0.01642865950878438
134,0.3116641523754,0.0006220056979,1,866,0.024852187850258563,0.01351740758608606
637,0.6218435051405,0.0392186381003,1,555,0.09650819832628424,0.04262906146360881
121,0.3215267864586,0.0006432767087,1,841,0.026771386410250803,0.014349008417686871
219,0.2249510356918,0.0046590153297,1,1002,0.025908222631974655,0.014349008417686871
301,0.6243478344853,0.0050495733669,1,948,0.026919717156525812,0.013518272935546615
300,0.6030652304929,0.0050936491146,4,898,0.02302845801367904,0.12121014795312401
51,0.2360696745262,0.0001209118852,1,765,0.024008075233661764,0.012061889793419423
52,0.6037161710652,0.0001199374798,2,461,0.026526896167885172,0.013517191248720906
219,0.2746217610973,0.0001207509489,3,772,0.02416329301667936,0.012269573663954514
384,0.8240768049048,0.0050635600374,3,377,0.028641898361119356,0.01601264275561882
437,0.7574403115985,0.0087990083065,3,97,0.027054597916025103,0.015387860445092483
293,0.2491588963506,0.0006557240611,1,577,0.02556321590235739,0.013101390832920456
296,0.1997005388321,0.0006570592634,1,541,0.024089589877562087,0.013310156390281236
50,0.2935636131032,0.0006272598863,1,531,0.02405500598929145,0.013309723715550947
294,0.2558405328839,0.0003658262093,1,523,0.025704482902180064,0.012893057950289988
38,0.2708501250326,0.0006726724172,1,541,0.026318967215942613,0.014140891872421513
261,0.0201432914558,0.0001015006108,1,577,0.025177175718726536,0.013309291040820704
51,0.3025477563378,0.0004607548337,1,556,0.025294416519728573,0.013100958158190212
42,0.3988514356068,0.0006605874905,1,553,0.02649819482456554,0.01393299166452131
372,0.6102425449114,0.0015763840694,3,506,0.027933706749569288,0.013517623923451173
49,0.3071489803757,0.0006447261916,3,531,0.02668757528066635,0.013932775327156154
264,0.3167457451784,0.0006343167147,2,541,0.026761359166015276,0.014972925378752633
285,0.3080480931827,0.0006444650911,1,531,0.026047677713813205,0.014349441092417158
51,0.4136507118523,0.0006460968672,1,531,0.026068142273209312,0.012061457118689157
51,0.534831224617,0.0006349881143,1,537,0.026131203788699525,0.013933424339251576
301,0.6010847906287,0.0046376406804,2,1017,0.02684911009940234,0.013517191248720884
48,0.3124086557605,0.0001788502357,2,531,0.0266788552385388,0.013932991664521333
738,0.2734047715982,0.0999967486933,4,91,0.055168533325195314,0.4179720102716981
296,0.3073700843392,0.0005786147088,1,541,0.025184727744622666,0.01330972371555097
816,0.1006982395772,0.0001623275114,1,419,0.025795850229985783,0.012893057950289988
296,0.3075363700619,0.0005695458725,1,541,0.02480597588148984,0.012685806754485208
51,0.310977753454,0.0005776604937,1,531,0.02541669516852408,0.013933424339251576
604,0.3118230670028,0.000567269724,1,758,0.024962990672299356,0.013101607170285634
102,0.1894695080254,0.0026068828701,4,101,0.026532165227514327,0.014557124962952205
547,0.4239860884209,0.0001356935227,2,149,0.027522154062083276,0.01559597699035784
51,0.2457384935909,0.0006489001692,1,901,0.024468445804986087,0.012685590417120052
297,0.245818857785,0.0005826199309,2,889,0.024914155132842786,0.01372509145662113
296,0.3124660942388,0.0005819693977,1,541,0.025958423930587192,0.013308858366090415
62,0.3125507087771,0.0005791691351,1,531,0.025550698990171605,0.013517191248720906
74,0.2455673068324,0.0001133686784,3,701,0.027779944647442212,0.01476502517085243
363,0.2913048958122,0.0115743270024,5,69,0.029784765649925576,0.014141108209786646
58,0.2472281402687,0.000578938935,1,530,0.024390663360104415,0.013101607170285657
52,0.2168236338733,0.0006551061985,1,917,0.02468763296351288,0.013101174495555345
567,0.9523165156402,0.0051190377395,2,999,0.02614190098011132,0.013726173143446796
568,0.9504932676393,0.0051173641719,1,1002,0.026870753467082974,0.01393299166452131
567,0.7665012455693,0.0051165797238,3,972,0.022278028229872383,0.1074878688822497
